"","feature1","feature2","OrganizationIdentifier.x","OrganizationFormalName.x","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName.x","OrganizationIdentifier.y","OrganizationFormalName.y","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName.y","StName","Year","Month","Duplicated","dtec_condition","dt_Missing","u_Missing","Missing","ActivityMediaSubdivisionName2","ResultMeasure.MeasureUnitCode2","ProviderName.x2","ResultSampleFractionText2","ResultAnalyticalMethod.MethodName2"
"55","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700325","Quality Control Sample-Field Replicate","Water","Surface Water","2017-05-03","12:50:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-50855A","","Rising stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",2740,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-16","","",NA,"","2017-05-15","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"56","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700337","Sample-Routine","Water","Surface Water","2017-05-10","13:10:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-52112A","","Peak stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",2270,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-05-20","","",NA,"","2017-05-18","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"57","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700368","Sample-Routine","Water","Surface Water","2017-05-24","14:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-52113A","","Rising stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",1620,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-06-02","","",NA,"","2017-06-01","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",5,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"58","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700411","Sample-Routine","Water","Surface Water","2017-06-13","14:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-52115A","","Stable, low stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",681,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-06-24","","",NA,"","2017-06-19","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",6,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"59","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700414","Sample-Routine","Water","Surface Water","2017-06-20","11:40:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-52116A","","Rising stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",4310,"ng/l","","Accepted","","Actual","",NA,NA,"","","The holding time for the processing of this sample has been exceeded",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-07-13","holding time exceededsee result comment","",NA,"","2017-07-07","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",6,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"60","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700430","Sample-Routine","Water","Surface Water","2017-06-29","11:04:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","","","Rising stage","Routine sample","10","USGS parameter code 82398","Equal width increment (ewi)","US D-95 Teflon bottle","","Dissolved",2.74,"ug/l","","Preliminary","","Estimated","",NA,NA,"","","The holding time for the processing of this sample has been exceeded",39415,NA,"",NA,NA,NA,"GCM35","USGS","Pest, high use, SPE, GCMS-SIM","USGS OF 95-181","USGS-National Water Quality Lab, Denver, CO","2017-08-10","holding time exceededvalue extrapolated at high endsee result comment","Laboratory Reporting Level",0.012,"ug/l","2017-07-10","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",6,"No","D","No","No","No","Surface Water","ug/l","NWIS","Dissolved","Pest, high use, SPE, GCMS-SIM"
"61","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700431","Sample-Routine","Water","Surface Water","2017-06-29","11:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-52117A","","Rising stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",2300,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-07-11","","",NA,"","2017-07-10","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",6,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"62","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700469","Sample-Routine","Water","Surface Water","2017-07-13","12:20:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-52118A","","Rising stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",1100,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-07-28","","",NA,"","2017-07-24","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",7,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"63","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700475","Sample-Routine","Water","Surface Water","2017-07-26","12:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-52119A","","Falling stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",303,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-08-10","","",NA,"","2017-08-08","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",7,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"64","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700500","Sample-Routine","Water","Surface Water","2017-08-17","12:30:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-53555A","","Falling stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-95 Teflon bottle","","Dissolved",166,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-08-31","","",NA,"","2017-08-25","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",8,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"65","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700517","Sample-Routine","Water","Surface Water","2017-08-30","12:34:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","","","Stable, low stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US D-95 Teflon bottle","","Dissolved",0.075,"ug/l","","Preliminary","","Actual","",NA,NA,"","","",39415,NA,"",NA,NA,NA,"GCM35","USGS","Pest, high use, SPE, GCMS-SIM","USGS OF 95-181","USGS-National Water Quality Lab, Denver, CO","2017-12-16","","Laboratory Reporting Level",0.012,"ug/l","2017-09-05","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",8,"No","D","No","No","No","Surface Water","ug/l","NWIS","Dissolved","Pest, high use, SPE, GCMS-SIM"
"66","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700518","Sample-Routine","Water","Surface Water","2017-08-30","12:30:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-53556A","","Stable, low stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US D-95 Teflon bottle","","Dissolved",69,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-09-15","","",NA,"","2017-09-08","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",8,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"67","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700524","Sample-Routine","Water","Surface Water","2017-09-21","12:44:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","","","Stable, low stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US D-95 Teflon bottle","","Dissolved",0.086,"ug/l","","Preliminary","","Actual","",NA,NA,"","","",39415,NA,"",NA,NA,NA,"GCM35","USGS","Pest, high use, SPE, GCMS-SIM","USGS OF 95-181","USGS-National Water Quality Lab, Denver, CO","2017-12-20","","Laboratory Reporting Level",0.012,"ug/l","2017-09-27","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",9,"No","D","No","No","No","Surface Water","ug/l","NWIS","Dissolved","Pest, high use, SPE, GCMS-SIM"
"68","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01700525","Sample-Routine","Water","Surface Water","2017-09-21","12:40:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-53557A","","Stable, low stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US D-95 Teflon bottle","","Dissolved",61.8,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-10-04","","",NA,"","2017-10-02","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",9,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"69","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800004","Sample-Routine","Water","Surface Water","2017-10-12","13:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-53558A","","Stable, low stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US D-95 Teflon bottle","","Dissolved",62.9,"ng/l","","Accepted","","Actual","",NA,NA,"","","The holding time for the processing of this sample has been exceeded",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-11-04","holding time exceededsee result comment","",NA,"","2017-11-01","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",10,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"70","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800034","Sample-Routine","Water","Surface Water","2017-11-15","14:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-53559A","","Falling stage","Routine sample","40","USGS parameter code 82398","Multiple verticals","US D-96-A1 Bag Sampler","","Dissolved",77.9,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-11-29","","",NA,"","2017-11-27","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",11,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"71","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800070","Sample-Routine","Water","Surface Water","2017-12-12","12:00:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-53560A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",35.7,"ng/l","","Accepted","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2017-12-28","","",NA,"","2017-12-20","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2017",12,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"72","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800079","Sample-Routine","Water","Surface Water","2018-01-11","08:20:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-53561A","","Rising stage","Routine sample","70","USGS parameter code 82398","Grab sample  (dip)","US DH-81","","Dissolved",62.5,"ng/l","","Accepted","","Actual","",NA,NA,"","","The holding time for the processing of this sample has been exceeded",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2018-02-14","holding time exceededsee result comment","",NA,"","2018-02-07","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2018",1,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"73","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800148","Sample-Routine","Water","Surface Water","2018-02-13","13:40:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-54512A","","Stable, normal stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",28.5,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2018-03-01","","",NA,"","2018-02-26","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2018",2,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
"74","IN","Metolachlor","USGS-IN","USGS Indiana Water Science Center","nwisin.01.01800193","Sample-Routine","Water","Surface Water","2018-03-05","13:30:00","EST","","","",NA,"","",NA,"",NA,"","National Water Quality Assessment Program (NAWQA)","U.S. Geological Survey-Water Resources Discipline","USGS-03374100","MM-54513A","","Stable, low stage","Routine sample","20","USGS parameter code 82398","Equal discharge increment (edi)","US D-96-A1 Bag Sampler","","Dissolved",57.5,"ng/l","","Preliminary","","Actual","",NA,NA,"","","",65090,NA,"",NA,NA,NA,"LCM60","USGS","Pesticides, wf, dir inj LC/MS/MS","USGS TMR 5-B11","USGS-National Water Quality Lab, Denver, CO","2018-03-14","","",NA,"","2018-03-12","NWIS","USGS-IN","USGS Indiana Water Science Center","WHITE RIVER AT HAZLETON, IN","Stream","",5120202,11305,"sq mi",NA,"",38.4897695,-87.5500227,24000,"5","seconds","Interpolated from MAP.","NAD83",382.77,"feet",0.05,"feet","Differentially corrected Global Positioning System.","NAVD88","US",18,51,"","","",NA,NA,"",NA,"","NWIS","Indiana","2018",3,"No","D","No","No","No","Surface Water","ng/l","NWIS","Dissolved","Pesticides, wf, dir inj LC/MS/MS"
